r,X_r,Conn_r,euler_rips_r
27.05,989.1666666666666,1,119647
27.07,992.015873015873,1,120000
27.11,994.1349206349206,1,120262
27.12,995.4920634920635,1,120430
27.18,996.3333333333334,1,120534
27.19,996.7222222222222,1,120582
27.29,997.515873015873,1,120680
27.32,1000.063492063492,1,120996
27.34,1002.5396825396825,1,121303
27.36,1005.0079365079365,1,121609
27.4,1005.4126984126984,1,121659
27.46,1005.7301587301587,1,121698
27.5,1008.8730158730159,1,122085
27.51,1009.6904761904761,1,122186
27.52,1012.3650793650794,1,122517
27.54,1012.8888888888889,1,122582
27.55,1014.3730158730159,1,122766
27.59,1015.7380952380952,1,122935
27.62,1025.531746031746,1,124144
27.69,1026.0396825396826,1,124207
27.73,1029.2301587301588,1,124603
27.74,1031.7619047619048,1,124916
27.78,1032.3095238095239,1,124984
27.79,1032.7857142857142,1,125043
27.81,1033.626984126984,1,125147
27.86,1035.420634920635,1,125369
27.87,1036.7777777777778,1,125536
27.88,1038.3174603174602,1,125726
27.9,1038.8015873015872,1,125786
27.91,1039.6507936507937,1,125891
27.94,1040.547619047619,1,126002
27.96,1053.7063492063492,1,127627
27.99,1056.0079365079366,1,127912
28.0,1056.436507936508,1,127965
28.01,1056.936507936508,1,128027
28.05,1058.531746031746,1,128223
28.12,1061.2063492063492,1,128554
28.19,1061.6190476190477,1,128605
28.29,1069.3809523809523,1,129565
28.3,1069.857142857143,1,129624
28.31,1071.0079365079366,1,129766
28.32,1072.2777777777778,1,129923
28.33,1072.873015873016,1,129996
28.38,1073.7777777777778,1,130108
28.4,1074.9126984126983,1,130249
28.42,1076.1666666666667,1,130404
28.43,1081.1904761904761,1,131027
28.47,1081.404761904762,1,131053
28.51,1106.2619047619048,1,134124
28.52,1107.0396825396826,1,134220
28.61,1108.7936507936508,1,134437
28.66,1109.142857142857,1,134480
28.7,1110.1587301587301,1,134605
28.72,1110.6984126984128,1,134671
28.73,1111.484126984127,1,134768
28.75,1111.8412698412699,1,134812
28.78,1112.888888888889,1,134942
28.79,1114.0396825396826,1,135085
28.82,1114.4444444444443,1,135135
28.85,1115.6587301587301,1,135285
28.89,1116.452380952381,1,135383
28.91,1116.8095238095239,1,135427
28.94,1118.6666666666667,1,135657
28.97,1119.031746031746,1,135702
